topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.45,13,0.0977652580785841,0.05337643535638124,0.0485,0.23053795782907419,0,0.9545,0.032,0.718,0.000335663277088609
all_to_all,0.45,14,0.14183915039826303,0.07183286903815088,0.0815,0.2825911357420823,0,0.921,0.047,0.3895,0.0010492609093350508
all_to_all,0.45,15,0.14344411697961232,0.06457124086589759,0.1125,0.3253363643984484,0,0.8905,0.0655,0.2995,0.002333393775181104
all_to_all,0.45,16,0.15263784502008895,0.05718945829725186,0.0975,0.31143819611601914,0,0.907,0.0585,0.2995,0.001694379534932954
all_to_all,0.45,17,0.2009515315865072,0.051201825925194185,0.1345,0.3706882113043251,0,0.8755,0.0805,0.201,0.003715129971895456
all_to_all,0.45,18,0.14081557529235975,0.04820765757011852,0.0655,0.25141549276049,0,0.9355,0.039,0.428,0.0006324356882553119
all_to_all,0.45,19,0.11709204287814994,0.06594712981185998,0.0485,0.21482027371735654,0,0.9515,0.036,0.4945,0.0003750762083292877
all_to_all,0.5,0,0.14160893092948168,0.049229059171968306,0.0785,0.2798888172114063,0,0.9245,0.052,0.566,0.0010988435175035868
all_to_all,0.5,1,0.29393250828507184,0.07459175016850318,0.664,0.9955420634006381,0,0.5845,0.1945,0.1015,0.08045448338185444
all_to_all,0.5,2,0.11837498708351524,0.05450372348569226,0.0785,0.28519773842020557,0,0.926,0.0485,0.549,0.0010235747042947499
all_to_all,0.5,3,0.2263852802796398,0.06101730892332011,0.2385,0.4976120476837353,0,0.7925,0.1255,0.173,0.012958439839998573
all_to_all,0.5,4,0.30682859356825476,0.05160979424808655,0.4235,0.6573794566306435,0,0.6595,0.1905,0.0995,0.04264108302304855
all_to_all,0.5,5,0.21621019171698294,0.07534729647547139,0.24,0.5023942674832188,0,0.7925,0.1175,0.179,0.012249000338322038
all_to_all,0.5,6,0.17611666587065336,0.07865822546257441,0.163,0.39170269337853675,0,0.845,0.0955,0.3345,0.005798179179449708
all_to_all,0.5,7,0.38233021887655166,0.0428055489835762,1.073,1.1263529642168124,0,0.3635,0.334,0.0995,0.23945250373274007
all_to_all,0.5,8,0.18303704466146303,0.0616708092286448,0.1345,0.36388150543824016,0,0.873,0.079,0.23,0.0036508231902748147
