seed,branch,K,R_mean,R_std,cluster_mean,cluster_std,cluster_final
2,down,1.15,0.92963192466715,5.0952670263250124e-08,1.0,0.0,1
2,down,1.125,0.9258626415190931,7.845113328653577e-08,1.0,0.0,1
2,down,1.1,0.9217544049048543,1.21750034452274e-07,1.0,0.0,1
2,down,1.075,0.9172613719005449,1.9060339394433543e-07,1.0,0.0,1
2,down,1.05,0.912328934418325,3.012960534859858e-07,1.0,0.0,1
2,down,1.025,0.9068914469349824,4.81433374873298e-07,1.0,0.0,1
2,down,1.0,0.90086917889711,7.786183012643901e-07,1.0,0.0,1
2,down,0.975,0.8941641506784481,1.2765442836148909e-06,1.0,0.0,1
2,down,0.95,0.8866543211768816,2.1256522777664486e-06,1.0,0.0,1
2,down,0.925,0.878185270234291,3.6033568240601272e-06,1.0,0.0,1
2,down,0.9,0.8685579427249082,6.236643652615293e-06,1.0,0.0,1
2,down,0.875,0.85750994929411,1.1062169947129144e-05,1.0,0.0,1
2,down,0.85,0.8446858115022967,2.020552941036955e-05,1.0,0.0,1
2,down,0.825,0.8295871124538691,3.824828322124878e-05,1.0,0.0,1
2,down,0.8,0.8114834276784145,7.5693239947265e-05,1.0,0.0,1
2,down,0.775,0.7892394209110083,0.00015860397994938103,1.0,0.0,1
2,down,0.75,0.7609394117980823,0.0003590599886885702,1.0,0.0,1
2,down,0.725,0.7229275286465215,0.000910021232917603,1.0,0.0,1
2,down,0.7,0.6666118031278409,0.002753377384745514,1.0,0.0,1
2,down,0.675,0.5621425787677947,0.011353994126101646,2.208,0.8250672699846965,1
2,down,0.65,0.23720701878374853,0.06828266659949535,0.502,0.902217268732981,0
2,down,0.625,0.34498329475250417,0.07107441923928051,0.766,0.9503914982784727,0
