run,direction,K,R_mean,R_std
17,forward,0.30000000000000004,0.990107393510887,2.9855040672311677e-07
17,forward,0.35000000000000003,0.9894860014020704,3.3400268342460506e-07
17,forward,0.4,0.9943859785194744,1.163195242000376e-08
17,forward,0.45,0.9927176386918017,2.2052589006914006e-08
17,forward,0.5,0.9985727723190108,8.77225147879411e-10
17,forward,0.55,0.9966287063878283,3.599081886741292e-11
17,forward,0.6000000000000001,0.9979519389286202,4.7441098571400645e-11
17,forward,0.65,0.9983282590200077,4.026816356533701e-12
17,forward,0.7,0.9944954781286919,4.5828889394332117e-11
17,forward,0.75,0.9981966843394944,1.6843524894186236e-12
17,forward,0.8,0.9976871373196349,7.561536888652638e-13
17,forward,0.8500000000000001,0.9959599218504631,1.607145205144384e-12
17,forward,0.9000000000000001,0.9989108962087996,2.0814765131835752e-14
17,forward,0.95,0.9992058278055875,2.5162333942836513e-16
17,forward,1.0,0.9984013552348083,8.095981851664734e-15
17,forward,1.05,0.9993088789514276,1.4138099206098035e-16
17,forward,1.1,0.9991605149638785,1.8976912829395829e-16
17,forward,1.1500000000000001,0.9986538000010281,1.179312600842896e-16
17,forward,1.2,0.9993462704305663,1.0250792055532469e-16
18,forward,0.2,0.9556032564241275,0.0003732936583842252
18,forward,0.25,0.9766057733813,6.829604228913309e-06
18,forward,0.30000000000000004,0.978837423455456,2.5144355739404283e-06
18,forward,0.35000000000000003,0.992983494862231,9.890056482859512e-08
18,forward,0.4,0.9908017308289319,1.127196996884236e-07
18,forward,0.45,0.9924461646677178,1.0466558553557139e-08
18,forward,0.5,0.9976860147136672,1.0726130990363596e-10
18,forward,0.55,0.9904392813056788,7.696130650331355e-10
18,forward,0.6000000000000001,0.9958158698068599,8.039172426734835e-11
18,forward,0.65,0.9986581711700685,1.9156305561026757e-11
18,forward,0.7,0.9970854332461191,5.723009315833524e-12
18,forward,0.75,0.9982519625696985,8.356509302040968e-13
18,forward,0.8,0.9964147898844844,3.1203254295314255e-12
18,forward,0.8500000000000001,0.9982527814173341,4.625834529269903e-15
18,forward,0.9000000000000001,0.9988013839394206,8.03985974671329e-15
18,forward,0.95,0.9985107278022838,1.134317097308431e-15
18,forward,1.0,0.9976695544795695,5.07843709648005e-15
18,forward,1.05,0.9987596411827419,1.9856781855439467e-15
18,forward,1.1,0.9993998577269095,1.7504359874586864e-16
18,forward,1.1500000000000001,0.998539978113814,1.9958298289962765e-16
18,forward,1.2,0.9977445806522522,1.969929045070064e-16
19,forward,0.2,0.9824755052619722,1.3833485784638486e-05
19,forward,0.25,0.9571209945630788,6.352267661564974e-05
19,forward,0.30000000000000004,0.9747758890981,6.958091978816513e-07
19,forward,0.35000000000000003,0.9833484949935443,2.041612030448333e-06
